suite,benchmark,qasm_path,machine,ions_per_region,mapper,reorder,serial_trap_ops,serial_comm,serial_all,gate_type,swap_type,sched_family,sched_version,analyzer_mode,architecture_scale,trap_capacity,lookahead_k,swap_threshold,max_qubits_per_qccd,num_optical_zones,enable_swap_insert,notes,return_code,log_path,wallclock_s,scheduler_build_s,program,summary_machine,summary_version,summary_mapper,total_shuttle,execution_time_us,fidelity,version,scale,num_modules,remote_gate_count,compile_time_s,logical_shuttle_count,physical_shuttle_leg_count,split_count,merge_count,move_count,local_1q_count,local_2q_count,operation_local_2q_count,optical_local_2q_count,storage_local_2q_count,remote_2q_count,fiber_gate_count,regular_fiber_gate_count,swap_insert_gate_count,swap_insert_logical_count,local_1q_time,local_2q_time,operation_local_2q_time,optical_local_2q_time,storage_local_2q_time,fiber_gate_time,swap_insert_time,split_time_total,move_time_total,merge_time_total,shuttle_time_total,gate_mult,regular_gate_mult,swap_insert_gate_mult,operation_local_2q_mult,optical_local_2q_mult,shuttle_mult
capacity_sweep,SQRT117,programs\SQRT117.qasm,EML,14,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,14,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__SQRT117__EML__cap14__k8__T4__oz1__SABRE__MUSSV7.log,62.714276,0.013910,programs\SQRT117,EML,V7,SABRELarge,248,265044.0,1.0953523832149311e-07,V7,LARGE,4,911,6.311160,248,248,248,248,451,2191,688,67,621,0,911,911,911,0,0,10955.0,27520.0,2680.0,24840.0,0.0,182200.0,0.0,29160.0,6314.0,19840.0,55314.0,4.286028582667768e-07,4.286028582667768e-07,1.0,0.5975349282870681,0.008456451588676672,0.25556348075801844
capacity_sweep,SQRT117,programs\SQRT117.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__SQRT117__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log,62.232570,0.008002,programs\SQRT117,EML,V7,SABRELarge,274,271584.0,1.7658368526401794e-08,V7,LARGE,4,911,6.948759,274,274,274,274,541,2191,688,66,622,0,911,911,911,0,0,10955.0,27520.0,2640.0,24880.0,0.0,182200.0,0.0,32360.0,7574.0,21920.0,61854.0,8.496375923038894e-08,8.496375923038894e-08,1.0,0.5195640345141521,0.0019279290160405735,0.20783412464741538
capacity_sweep,SQRT117,programs\SQRT117.qasm,EML,18,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,18,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__SQRT117__EML__cap18__k8__T4__oz1__SABRE__MUSSV7.log,62.388187,0.008950,programs\SQRT117,EML,V7,SABRELarge,274,271842.0,3.805212896480524e-09,V7,LARGE,4,911,6.412868,274,274,274,274,548,2191,688,75,613,0,911,911,911,0,0,10955.0,27520.0,3000.0,24520.0,0.0,182200.0,0.0,32520.0,7672.0,21920.0,62112.0,1.8564565549675286e-08,1.8564565549675286e-08,1.0,0.5383483730391188,0.00040655357654163207,0.20497182583123205
capacity_sweep,SQRT117,programs\SQRT117.qasm,EML,20,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,20,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__SQRT117__EML__cap20__k8__T4__oz1__SABRE__MUSSV7.log,62.293750,0.008435,programs\SQRT117,EML,V7,SABRELarge,270,270930.0,7.210586246513228e-10,V7,LARGE,4,911,6.542626,270,270,270,270,540,2191,688,75,613,0,911,911,911,0,0,10955.0,27520.0,3000.0,24520.0,0.0,182200.0,0.0,32040.0,7560.0,21600.0,61200.0,3.436930715694338e-09,3.436930715694338e-09,1.0,0.6312980023803545,6.418488433604323e-05,0.20979725350839729
lookahead_sweep,BV128,programs\BV128.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,4,4,32,1,1,lookahead_sweep_medium,0,output_large\logs\lookahead_sweep__BV128__EML__cap16__k4__T4__oz1__SABRE__MUSSV7.log,3.701352,0.004545,programs\BV128,EML,V7,SABRELarge,100,43034.0,0.15348160664116386,V7,LARGE,4,96,0.864991,100,100,100,100,196,257,31,15,16,0,96,96,96,0,0,1285.0,1240.0,600.0,640.0,0.0,19200.0,0.0,11840.0,2744.0,8000.0,22584.0,0.271961725277157,0.271961725277157,1.0,0.8600583546412883,0.8514577710948754,0.5643500256690548
lookahead_sweep,BV128,programs\BV128.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,6,4,32,1,1,lookahead_sweep_medium,0,output_large\logs\lookahead_sweep__BV128__EML__cap16__k6__T4__oz1__SABRE__MUSSV7.log,2.946245,0.004545,programs\BV128,EML,V7,SABRELarge,15,10694.0,0.23012031026656377,V7,LARGE,4,13,0.090536,15,15,15,15,26,257,123,60,63,0,13,13,4,9,3,1285.0,4920.0,2400.0,2520.0,0.0,2600.0,1800.0,1600.0,364.0,1200.0,3164.0,0.24844172669609052,0.271961725277157,0.9135172474836407,0.5471566423907612,0.5309055429551132,0.9262546727831309
lookahead_sweep,BV128,programs\BV128.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,lookahead_sweep_medium,0,output_large\logs\lookahead_sweep__BV128__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log,2.608027,0.004556,programs\BV128,EML,V7,SABRELarge,15,10694.0,0.23012031026656377,V7,LARGE,4,13,0.084591,15,15,15,15,26,257,123,60,63,0,13,13,4,9,3,1285.0,4920.0,2400.0,2520.0,0.0,2600.0,1800.0,1600.0,364.0,1200.0,3164.0,0.24844172669609052,0.271961725277157,0.9135172474836407,0.5471566423907612,0.5309055429551132,0.9262546727831309
lookahead_sweep,BV128,programs\BV128.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,10,4,32,1,1,lookahead_sweep_medium,0,output_large\logs\lookahead_sweep__BV128__EML__cap16__k10__T4__oz1__SABRE__MUSSV7.log,2.857701,0.004372,programs\BV128,EML,V7,SABRELarge,15,10694.0,0.23012031026656377,V7,LARGE,4,13,0.094643,15,15,15,15,26,257,123,60,63,0,13,13,4,9,3,1285.0,4920.0,2400.0,2520.0,0.0,2600.0,1800.0,1600.0,364.0,1200.0,3164.0,0.24844172669609052,0.271961725277157,0.9135172474836407,0.5471566423907612,0.5309055429551132,0.9262546727831309
lookahead_sweep,BV128,programs\BV128.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,12,4,32,1,1,lookahead_sweep_medium,0,output_large\logs\lookahead_sweep__BV128__EML__cap16__k12__T4__oz1__SABRE__MUSSV7.log,2.384981,0.004600,programs\BV128,EML,V7,SABRELarge,15,10694.0,0.23012031026656377,V7,LARGE,4,13,0.099701,15,15,15,15,26,257,123,60,63,0,13,13,4,9,3,1285.0,4920.0,2400.0,2520.0,0.0,2600.0,1800.0,1600.0,364.0,1200.0,3164.0,0.24844172669609052,0.271961725277157,0.9135172474836407,0.5471566423907612,0.5309055429551132,0.9262546727831309
lookahead_sweep,GHZ128,programs\GHZ128.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,4,4,32,1,1,lookahead_sweep_medium,0,output_large\logs\lookahead_sweep__GHZ128__EML__cap16__k4__T4__oz1__SABRE__MUSSV7.log,2.427467,0.000370,programs\GHZ128,EML,V7,SABRELarge,53,16884.0,0.21598423305934045,V7,LARGE,4,6,0.020133,53,53,53,53,86,1,121,57,64,0,6,6,6,0,0,5.0,4840.0,2280.0,2560.0,0.0,1200.0,0.0,5400.0,1204.0,4240.0,10844.0,0.27901418437620024,0.27901418437620024,1.0,0.5639051904523876,0.525596487525562,0.7740976808839382
